# Probe 0 (0.2505 1e-06 0)
# Probe 1 (0.2375 1e-06 0)
# Probe 2 (0.2302 1e-06 0)
# Probe 3 (0.2295 1e-06 0)
# Probe 4 (0.2285 1e-06 0)
# Probe 5 (0.2275 1e-06 0)
# Probe 6 (0.2265 1e-06 0)
# Probe 7 (0.2255 1e-06 0)
# Probe 8 (0.2248 1e-06 0)
#       Probe             0             1             2             3             4             5             6             7             8
#        Time
  6.43885e-05  -1.70701e+06        967942   1.45889e+06   1.45566e+06   1.45108e+06   1.44255e+06   1.43318e+06   1.35155e+06        609911
  6.43994e-05  -1.71485e+06        967839   1.45861e+06   1.45539e+06   1.45086e+06   1.44232e+06   1.43296e+06    1.3523e+06        612202
  6.44103e-05  -1.72257e+06        967745   1.45833e+06   1.45513e+06   1.45064e+06   1.44208e+06   1.43275e+06   1.35302e+06        614543
  6.44212e-05  -1.73017e+06        967660   1.45805e+06   1.45487e+06   1.45042e+06   1.44185e+06   1.43253e+06   1.35372e+06        616933
  6.44321e-05  -1.73764e+06        967584   1.45777e+06   1.45461e+06    1.4502e+06   1.44161e+06   1.43231e+06   1.35438e+06        619374
   6.4443e-05    -1.745e+06        967517   1.45749e+06   1.45434e+06   1.44998e+06   1.44138e+06   1.43209e+06   1.35504e+06        621867
  6.44539e-05  -1.75222e+06        967458   1.45721e+06   1.45408e+06   1.44976e+06   1.44114e+06   1.43188e+06   1.35568e+06        624413
  6.44647e-05  -1.75932e+06        967408   1.45693e+06   1.45382e+06   1.44954e+06   1.44091e+06   1.43166e+06   1.35632e+06        627010
  6.44756e-05  -1.76629e+06        967366   1.45665e+06   1.45356e+06   1.44931e+06   1.44067e+06   1.43145e+06   1.35694e+06        629657
  6.44865e-05  -1.77313e+06        967332   1.45637e+06    1.4533e+06   1.44909e+06   1.44044e+06   1.43123e+06   1.35755e+06        632354
  6.44974e-05  -1.77984e+06        967305   1.45609e+06   1.45304e+06   1.44887e+06   1.44021e+06   1.43102e+06   1.35815e+06        635099
  6.45083e-05  -1.78642e+06        967286   1.45582e+06   1.45277e+06   1.44865e+06   1.43998e+06    1.4308e+06   1.35874e+06        637891
  6.45192e-05  -1.79286e+06        967273   1.45554e+06   1.45251e+06   1.44842e+06   1.43974e+06   1.43059e+06   1.35932e+06        640730
  6.45301e-05  -1.79917e+06        967268   1.45526e+06   1.45225e+06    1.4482e+06   1.43951e+06   1.43038e+06   1.35989e+06        643614
   6.4541e-05  -1.80534e+06        967268   1.45498e+06   1.45199e+06   1.44798e+06   1.43928e+06   1.43016e+06   1.36045e+06        646542
