       Probe             0             1             2             3             4             5             6             7             8
   4.2213e-05        101000        101000        606351        603661        601003        598677        596144        596386        598562
  4.22155e-05        101000        101000        606340        603653        600995        598669        596137        596379        598555
   4.2218e-05        101000        101000        606328        603644        600988        598662        596129        596371        598548
  4.22205e-05        101000        101000        606317        603635        600980        598654        596122        596363        598541
   4.2223e-05        101000        101000        606305        603627        600973        598647        596114        596356        598534
  4.22255e-05        101000        101000        606294        603618        600965        598639        596107        596348        598527
   4.2228e-05        101000        101000        606283        603610        600958        598631        596099        596341        598520
  4.22305e-05        101000        101000        606271        603602        600950        598624        596092        596333        598513
   4.2233e-05        101000        101000        606260        603593        600943        598617        596085        596326        598506
  4.22354e-05        101000        101000        606249        603585        600936        598609        596077        596318        598499
  4.22379e-05        101000        101000        606238        603576        600928        598602        596070        596311        598492
  4.22403e-05        101000        101000        606227        603568        600921        598594        596063        596303        598485
  4.22428e-05        101000        101000        606215        603560        600914        598587        596055        596296        598478
  4.22452e-05        101000        101000        606204        603552        600907        598580        596048        596289        598471
  4.22476e-05        101000        101000        606193        603543        600900        598572        596041        596281        598464
  4.22501e-05        101000        101000        606182        603535        600892        598565        596034        596274        598458
  4.22525e-05        101000        101000        606171        603527        600885        598558        596027        596267        598451
  4.22549e-05        101000        101000        606160        603519        600878        598550        596019        596259        598444
  4.22573e-05        101000        101000        606149        603511        600871        598543        596012        596252        598437
  4.22598e-05        101000        101000        606138        603502        600864        598536        596005        596245        598430
  4.22622e-05        101000        101000        606127        603494        600856        598528        595998        596237        598423
  4.22646e-05        101000        101000        606116        603486        600849        598521        595990        596230        598416
  4.22671e-05        101000        101000        606105        603478        600842        598514        595983        596223        598409
  4.22695e-05        101000        101000        606094        603469        600835        598506        595976        596215        598402
   4.2272e-05        101000        101000        606083        603461        600828        598499        595968        596208        598395
  4.22745e-05        101000        101000        606072        603453        600820        598491        595961        596200        598388
   4.2277e-05        101000        101000        606060        603444        600813        598484        595953        596192        598381
  4.22795e-05        101000        101000        606049        603436        600805        598476        595946        596185        598374
  4.22821e-05        101000        101000        606037        603427        600798        598469        595938        596177        598367
  4.22846e-05        101000        101000        606026        603418        600790        598461        595930        596169        598359
  4.22872e-05        101000        101000        606014        603410        600783        598453        595923        596162        598352
  4.22898e-05        101000        101000        606002        603401        600775        598445        595915        596154        598345
  4.22924e-05        101000        101000        605991        603392        600768        598437        595907        596146        598337
   4.2295e-05        101000        101000        605979        603384        600760        598429        595899        596138        598330
  4.22976e-05        101000        101000        605967        603375        600752        598422        595892        596130        598323
  4.23002e-05        101000        101000        605955        603366        600745        598414        595884        596122        598315
  4.23028e-05        101000        101000        605944        603357        600737        598406        595876        596114        598308
  4.23054e-05        101000        101000        605932        603348        600729        598398        595868        596106        598300
   4.2308e-05        101000        101000        605920        603340        600722        598390        595860        596098        598293
  4.23107e-05        101000        101000        605908        603331        600714        598382        595852        596090        598285
  4.23133e-05        101000        101000        605896        603322        600706        598374        595844        596082        598278
   4.2316e-05        101000        101000        605884        603313        600698        598366        595836        596074        598270
  4.23186e-05        101000        101000        605873        603304        600691        598358        595828        596066        598262
  4.23213e-05        101000        101000        605861        603295        600683        598349        595820        596058        598255
  4.23239e-05        101000        101000        605849        603286        600675        598341        595812        596050        598247
  4.23266e-05        101000        101000        605837        603277        600667        598333        595804        596042        598239
  4.23293e-05        101000        101000        605825        603268        600660        598325        595796        596034        598232
   4.2332e-05        101000        101000        605814        603259        600652        598317        595788        596026        598224
  4.23347e-05        101000        101000        605802        603250        600644        598308        595780        596017        598216
