       Probe             0             1             2             3             4             5             6             7             8
   1.2131e-06        101000        101000        104886        244071        655762        647825        643138        638127        634979
  1.22837e-06        101000        101000        105156        251059        656758        647823        643055        638054        634908
  1.24364e-06        101000        101000        105446        258206        657714        647819        642972        637981        634836
  1.25891e-06        101000        101000        105756        265504        658633        647813        642890        637909        634765
  1.27418e-06        101000        101000        106089        272941        659515        647807        642808        637836        634693
  1.28945e-06        101000        101000        106447        280506        660362        647799        642726        637763        634622
  1.30472e-06        101000        101000        106832        288191        661175        647789        642645        637691        634551
  1.32005e-06        101000        101000        107248        296017        661957        647778        642564        637618        634479
  1.33538e-06        101000        101000        107695        303944        662703        647765        642483        637545        634407
  1.35072e-06        101000        101000        108176        311961        663412        647751        642402        637473        634336
  1.36605e-06        101000        101000        108694        320059        664085        647735        642322        637400        634264
  1.38138e-06        101000        101000        109249        328229        664724        647718        642242        637327        634193
  1.39671e-06        101000        101000        109846        336490        665330        647697        642162        637255        634121
  1.41205e-06        101000        101000        110486        344844        665904        647675        642083        637182        634050
  1.42738e-06        101000        101000        111172        353220        666449        647649        642003        637109        633978
  1.44271e-06        101000        101000        111908        361568        666964        647622        641924        637037        633907
  1.45805e-06        101000        101000        112699        369792        667452        647591        641845        636964        633835
  1.47338e-06        101000        101000        113549        377883        667914        647558        641767        636892        633764
  1.48871e-06        101000        101000        114451        385847        668350        647522        641688        636820        633693
  1.50405e-06        101000        101000        115409        393680        668763        647484        641610        636747        633621
  1.51938e-06        101000        101000        116427        401380        669152        647443        641532        636675        633550
  1.53471e-06        101000        101000        117510        408944        669520        647400        641454        636602        633479
  1.55005e-06        101000        101000        118661        416369        669867        647354        641376        636530        633407
  1.56538e-06        101000        101000        119886        423655        670195        647306        641299        636458        633336
  1.58071e-06        101000        101000        121188        430801        670503        647256        641222        636385        633265
  1.59605e-06        101000        101000        122576        437803        670794        647203        641145        636313        633194
  1.61138e-06        101000        101000        124071        444653        671067        647148        641068        636241        633122
  1.62671e-06        101000        101000        125680        451351        671324        647090        640991        636169        633051
  1.64205e-06        101000        101000        127407        457894        671565        647030        640914        636097        632980
  1.65738e-06        101000        101000        129255        464286        671791        646967        640838        636025        632909
  1.67271e-06        101000        101000        131229        470532        672001        646901        640761        635953        632838
  1.68804e-06        101000        101000        133331        476630        672197        646833        640685        635880        632767
  1.70338e-06        101000        101000        135564        482583        672379        646764        640609        635808        632696
  1.71871e-06        101000        101000        137933        488390        672548        646692        640533        635736        632625
  1.73404e-06        101000        101000        140438        494052        672704        646617        640457        635664        632554
  1.74938e-06        101000        101000        143084        499568        672849        646539        640382        635592        632483
  1.76471e-06        101000        101000        145872        504940        672982        646459        640306        635521        632412
  1.78004e-06        101000        101000        148803        510167        673105        646377        640230        635449        632341
  1.79538e-06        101000        101000        151880        515251        673218        646292        640155        635377        632270
  1.81071e-06        101000        101000        155104        520192        673320        646206        640080        635305        632199
  1.82604e-06        101000        101000        158441        524991        673414        646118        640005        635233        632129
  1.84138e-06        101000        101000        161931        529644        673498        646028        639930        635161        632058
  1.85671e-06        101000        101000        165635        534151        673574        645936        639855        635090        631987
  1.87204e-06        101000        101000        169584        538514        673641        645843        639780        635018        631916
  1.88738e-06        101000        101000        173854        542738        673701        645749        639705        634946        631846
  1.90271e-06        101000        101000        178441        546827        673753        645654        639630        634874        631775
  1.91804e-06        101000        101000        183336        550783        673802        645558        639556        634803        631704
  1.93337e-06        101000        101000        188529        554611        673847        645461        639481        634731        631634
  1.94871e-06        101000        101000        194009        558311        673890        645363        639407        634660        631563
  1.96404e-06        101000        101000        199765        561888        673928        645265        639333        634588        631492
  1.97937e-06        101000        101000        205785        565342        673964        645166        639258        634516        631422
  1.99471e-06        101000        101000        212055        568678        673997        645067        639184        634445        631351
  2.01004e-06        101000        101000        218563        571899        674027        644967        639110        634373        631281
  2.02537e-06        101000        101000        225284        575008        674053        644867        639036        634302        631210
  2.04071e-06        101000        101000        232205        578009        674077        644767        638962        634230        631140
  2.05604e-06        101000        101000        239310        580906        674097        644667        638888        634159        631069
  2.07137e-06        101000        101000        246587        583701        674115        644566        638815        634088        630999
  2.08671e-06        101000        101000        254026        586396        674129        644466        638741        634016        630929
  2.10204e-06        101000        101000        261617        588997        674141        644365        638667        633945        630858
  2.11737e-06        101000        101000        269349        591505        674149        644265        638594        633874        630788
  2.13271e-06        101000        101000        277212        593924        674155        644164        638520        633802        630718
  2.14804e-06        101000        101000        285192        596256        674158        644064        638447        633731        630647
  2.16337e-06        101000        101000        293280        598506        674158        643964        638373        633660        630577
   2.1787e-06        101000        101000        301465        600675        674155        643864        638300        633588        630507
  2.19404e-06        101000        101000        309736        602766        674150        643764        638226        633517        630437
  2.20937e-06        101000        101000        318083        604782        674142        643665        638153        633446        630367
   2.2247e-06        101000        101000        326498        606726        674131        643566        638080        633375        630296
  2.24004e-06        101000        101000        334972        608600        674117        643467        638007        633304        630226
  2.25537e-06        101000        101000        343529        610406        674101        643368        637934        633233        630156
   2.2707e-06        101000        101000        352092        612148        674082        643270        637861        633162        630086
  2.28604e-06        101000        101000        360630        613827        674061        643172        637788        633091        630016
  2.30137e-06        101000        101000        369081        615445        674040        643075        637715        633020        629946
   2.3167e-06        101000        101000        377385        617006        674017        642978        637642        632949        629876
  2.33204e-06        101000        101000        385545        618510        673992        642881        637569        632878        629806
  2.34737e-06        101000        101000        393558        619960        673964        642785        637496        632807        629736
   2.3627e-06        101000        101000        401422        621359        673934        642690        637423        632736        629667
  2.37804e-06        101000        101000        409135        622707        673901        642595        637350        632665        629597
  2.39337e-06        101000        101000        416697        624007        673866        642501        637278        632594        629527
   2.4087e-06        101000        101000        424106        625261        673828        642407        637205        632523        629457
  2.42403e-06        101000        101000        431362        626470        673788        642314        637132        632452        629387
  2.43937e-06        101000        101000        438457        627634        673745        642222        637060        632382        629318
   2.4547e-06        101000        101000        445387        628752        673700        642131        636987        632311        629248
  2.47003e-06        101000        101000        452150        629825        673653        642039        636915        632240        629178
  2.48537e-06        101000        101000        458749        630855        673604        641949        636842        632169        629108
   2.5007e-06        101000        101000        465183        631844        673552        641859        636770        632099        629039
  2.51603e-06        101000        101000        471458        632794        673498        641769        636698        632028        628969
  2.53137e-06        101000        101000        477578        633707        673442        641680        636625        631957        628900
   2.5467e-06        101000        101000        483542        634584        673383        641591        636553        631887        628830
  2.56203e-06        101000        101000        489352        635428        673322        641503        636481        631816        628761
  2.57737e-06        101000        101000        495008        636239        673260        641415        636408        631746        628691
   2.5927e-06        101000        101000        500511        637020        673195        641327        636336        631675        628622
  2.60803e-06        101000        101000        505862        637774        673127        641240        636264        631605        628552
  2.62337e-06        101000        101000        511062        638502        673055        641153        636192        631534        628483
   2.6387e-06        101000        101000        516112        639203        672982        641066        636120        631464        628413
  2.65403e-06        101000        101000        521014        639876        672905        640980        636048        631393        628344
  2.66936e-06        101000        101000        525767        640522        672826        640894        635976        631323        628275
   2.6847e-06        101000        101000        530369        641142        672745        640808        635904        631253        628205
  2.70003e-06        101000        101000        534820        641737        672660        640723        635832        631182        628136
  2.71536e-06        101000        101000        539125        642307        672573        640638        635760        631112        628067
   2.7307e-06        101000        101000        543287        642855        672483        640553        635688        631042        627998
  2.74603e-06        101000        101000        547310        643380        672389        640468        635616        630971        627929
  2.76136e-06        101000        101000        551197        643884        672293        640383        635544        630901        627859
   2.7767e-06        101000        101000        554954        644367        672194        640299        635472        630831        627790
  2.79203e-06        101000        101000        558582        644830        672092        640215        635400        630761        627721
  2.80736e-06        101000        101000        562084        645275        671987        640131        635329        630691        627652
   2.8228e-06        101000        101000        565486        645703        671879        640046        635256        630620        627583
  2.83824e-06        101000        101000        568767        646114        671769        639962        635184        630549        627513
  2.85369e-06        101000        101000        571930        646508        671656        639877        635112        630479        627444
  2.86913e-06        101000        101000        574979        646885        671542        639793        635040        630408        627374
  2.88457e-06        101000        101000        577917        647247        671425        639709        634968        630338        627305
  2.90001e-06        101000        101000        580749        647593        671306        639626        634896        630267        627235
  2.91545e-06        101000        101000        583477        647925        671185        639542        634824        630197        627166
  2.93089e-06        101000        101000        586105        648243        671062        639458        634752        630126        627097
  2.94633e-06        101000        101000        588636        648547        670938        639375        634680        630056        627027
  2.96177e-06        101000        101000        591072        648839        670811        639291        634608        629986        626958
  2.97721e-06        101000        101000        593418        649118        670684        639208        634536        629915        626889
  2.99266e-06        101000        101000        595676        649386        670555        639125        634464        629845        626820
   3.0081e-06        101000        101000        597849        649642        670424        639042        634392        629775        626751
  3.02354e-06        101000        101000        599940        649886        670292        638959        634320        629704        626681
  3.03898e-06        101000        101000        601951        650119        670159        638877        634248        629634        626612
  3.05442e-06        101000        101000        603886        650340        670025        638794        634176        629564        626543
  3.06986e-06        101000        101000        605746        650551        669890        638712        634105        629494        626474
   3.0853e-06        101000        101000        607535        650752        669754        638630        634033        629424        626405
  3.10074e-06        101000        101000        609255        650942        669617        638548        633961        629354        626336
  3.11618e-06        101000        101000        610909        651123        669479        638467        633890        629284        626267
  3.13163e-06        101000        101000        612499        651293        669341        638385        633818        629214        626198
  3.14707e-06        101000        101000        614027        651454        669201        638304        633746        629143        626129
  3.16251e-06        101000        101000        615495        651606        669061        638222        633675        629073        626060
  3.17795e-06        101000        101000        616906        651751        668921        638141        633603        629004        625992
  3.19339e-06        101000        101000        618262        651893        668780        638060        633531        628934        625923
  3.20883e-06        101000        101000        619564        652034        668638        637979        633460        628864        625854
  3.22427e-06        101000        101000        620813        652173        668496        637898        633388        628794        625785
  3.23971e-06        101000        101000        622013        652309        668354        637818        633317        628724        625716
  3.25515e-06        101000        101000        623165        652443        668211        637737        633246        628654        625648
   3.2706e-06        101000        101000        624270        652575        668068        637657        633174        628584        625579
  3.28604e-06        101000        101000        625330        652703        667925        637576        633103        628515        625510
  3.30148e-06        101000        101000        626348        652828        667781        637496        633031        628445        625442
  3.31692e-06        101000        101000        627324        652950        667638        637416        632960        628375        625373
  3.33236e-06        101000        101000        628260        653068        667494        637336        632889        628305        625304
   3.3478e-06        101000        101000        629158        653182        667350        637256        632817        628236        625236
  3.36324e-06        101000        101000        630020        653293        667206        637176        632746        628166        625167
  3.37868e-06        101000        101000        630846        653400        667062        637096        632675        628097        625099
  3.39412e-06        101000        101000        631639        653503        666918        637016        632604        628027        625030
  3.40957e-06        101000        101000        632399        653602        666775        636936        632533        627957        624962
  3.42501e-06        101000        101000        633129        653697        666631        636857        632462        627888        624894
  3.44045e-06        101000        101000        633829        653787        666487        636777        632390        627818        624825
  3.45589e-06        101000        101000        634500        653872        666343        636697        632319        627749        624757
  3.47133e-06        101000        101000        635145        653950        666200        636618        632248        627680        624689
  3.48677e-06        101000        101000        635763        654021        666056        636539        632177        627610        624620
  3.50221e-06        101000        101000        636356        654086        665913        636459        632106        627541        624552
  3.51765e-06        101000        101000        636926        654144        665770        636380        632035        627471        624484
  3.53309e-06        101000        101000        637473        654195        665627        636301        631964        627402        624416
  3.54854e-06        101000        101000        637998        654239        665485        636221        631893        627333        624347
  3.56398e-06        101000        101000        638502        654278        665342        636142        631822        627264        624279
  3.57942e-06        101000        101000        638987        654309        665200        636063        631752        627194        624211
  3.59486e-06        101000        101000        639450        654333        665059        635984        631681        627125        624143
   3.6103e-06        101000        101000        639894        654348        664918        635905        631610        627056        624075
  3.62574e-06        101000        101000        640320        654354        664778        635826        631539        626987        624007
  3.64118e-06        101000        101000        640727        654353        664640        635747        631468        626918        623939
  3.65662e-06        101000        101000        641119        654345        664504        635669        631398        626849        623871
  3.67206e-06        101000        101000        641494        654328        664368        635590        631327        626780        623803
  3.68751e-06        101000        101000        641850        654305        664235        635511        631256        626711        623735
  3.70295e-06        101000        101000        642189        654274        664102        635432        631186        626642        623667
  3.71839e-06        101000        101000        642511        654236        663971        635354        631115        626573        623599
  3.73383e-06        101000        101000        642818        654191        663841        635275        631044        626504        623532
  3.74927e-06        101000        101000        643111        654139        663712        635196        630974        626435        623464
  3.76471e-06        101000        101000        643390        654081        663585        635118        630903        626366        623396
  3.78015e-06        101000        101000        643656        654017        663458        635039        630833        626297        623328
  3.79559e-06        101000        101000        643911        653946        663333        634961        630762        626228        623260
  3.81103e-06        101000        101000        644155        653869        663208        634882        630692        626160        623193
  3.82648e-06        101000        101000        644388        653786        663085        634804        630621        626091        623125
  3.84192e-06        101000        101000        644612        653698        662962        634726        630551        626022        623057
  3.85736e-06        101000        101000        644826        653604        662840        634647        630481        625953        622990
   3.8728e-06        101000        101000        645031        653504        662719        634569        630410        625885        622922
  3.88824e-06        101000        101000        645228        653400        662599        634491        630340        625816        622854
  3.90368e-06        101000        101000        645417        653291        662480        634413        630270        625748        622787
